Month,Day,Hour,solar1_output_MW,solar2_output_MW,solar3_output_MW
1,1,0,0,0,0
1,1,1,0,0,0
1,1,2,0,0,0
1,1,3,0,0,0
1,1,4,0,0,0
1,1,5,0,0,0
1,1,6,0,0,0
1,1,7,23.773486,0,0
1,1,8,37.105852,29.521454,0.389946031
1,1,9,40.021316,17.01461,1.51309425
1,1,10,40.333444,37.501772,0.8053875
1,1,11,39.721056,36.517712,1.179161375
1,1,12,39.03276,36.3947,1.545731
1,1,13,38.764008,36.250948,0.400494094
1,1,14,36.748852,35.755804,0.031799713
1,1,15,32.709564,32.109478,0.143508234
1,1,16,13.603016,18.437258,0
1,1,17,0,0,0
1,1,18,0,0,0
1,1,19,0,0,0
1,1,20,0,0,0
1,1,21,0,0,0
1,1,22,0,0,0
1,1,23,0,0,0
1,2,0,0,0,0
1,2,1,0,0,0
1,2,2,0,0,0
1,2,3,0,0,0
1,2,4,0,0,0
1,2,5,0,0,0
1,2,6,0,0,0
1,2,7,23.696794,0,0
1,2,8,36.96144,30.641096,6.4340125
1,2,9,39.7934,36.901572,11.866652
1,2,10,40.0622,37.292184,2.1916255
1,2,11,39.957104,36.82404,19.113982
1,2,12,39.797284,36.511272,8.66171
1,2,13,39.108856,36.221276,12.862913
1,2,14,37.100036,20.961268,6.2474785
1,2,15,32.618952,13.49033,0.063338914
1,2,16,13.796099,0.96165575,2.02266675
1,2,17,0,0,0
1,2,18,0,0,0
1,2,19,0,0,0
1,2,20,0,0,0
1,2,21,0,0,0
1,2,22,0,0,0
1,2,23,0,0,0
1,3,0,0,0,0
1,3,1,0,0,0
1,3,2,0,0,0
1,3,3,0,0,0
1,3,4,0,0,0
1,3,5,0,0,0
1,3,6,0,0,0
1,3,7,23.764946,0,1.110646375
1,3,8,38.137248,11.624347,18.639044
1,3,9,27.73256,37.29932,34.522736
1,3,10,42.381424,38.01804,36.567512
1,3,11,41.759928,37.777036,31.418818
1,3,12,41.541184,37.498092,19.22822
1,3,13,40.840768,37.413292,16.649811
1,3,14,39.024392,23.340996,17.273144
1,3,15,34.098672,20.818414,12.594088
1,3,16,14.310934,5.944963,6.9201035
1,3,17,0,0,0
1,3,18,0,0,0
1,3,19,0,0,0
1,3,20,0,0,0
1,3,21,0,0,0
1,3,22,0,0,0
1,3,23,0,0,0
1,4,0,0,0,0
1,4,1,0,0,0
1,4,2,0,0,0
1,4,3,0,0,0
1,4,4,0,0,0
1,4,5,0,0,0
1,4,6,0,0,0
1,4,7,23.35756,0,0.229571563
1,4,8,28.355902,0.968223813,14.457714
1,4,9,40.188872,2.87499425,20.309798
1,4,10,40.37734,27.906442,28.379198
1,4,11,39.34738,31.092556,25.435316
1,4,12,39.13292,31.501772,29.536562
1,4,13,37.55664,27.898028,36.216012
1,4,14,36.432164,26.708688,34.956576
1,4,15,32.453528,27.495342,12.314773
1,4,16,13.535796,15.170415,3.67816925
