"","datetime","price","hub","iso"
"1",2018-01-01 00:00:00,90.4614825,"TH_NP15","caiso"
"2",2018-01-01 01:00:00,43.4190516666667,"TH_NP15","caiso"
"3",2018-01-01 02:00:00,35.1067508333333,"TH_NP15","caiso"
"4",2018-01-01 03:00:00,38.3414008333333,"TH_NP15","caiso"
"5",2018-01-01 04:00:00,47.5569183333333,"TH_NP15","caiso"
"6",2018-01-01 05:00:00,35.6037783333333,"TH_NP15","caiso"
"7",2018-01-01 06:00:00,42.7012658333333,"TH_NP15","caiso"
"8",2018-01-01 07:00:00,31.2329108333333,"TH_NP15","caiso"
"9",2018-01-01 08:00:00,25.1464375,"TH_NP15","caiso"
"10",2018-01-01 09:00:00,23.0907,"TH_NP15","caiso"
"11",2018-01-01 10:00:00,21.6554175,"TH_NP15","caiso"
"12",2018-01-01 11:00:00,22.5766641666667,"TH_NP15","caiso"
"13",2018-01-01 12:00:00,21.6141525,"TH_NP15","caiso"
"14",2018-01-01 13:00:00,22.0328766666667,"TH_NP15","caiso"
"15",2018-01-01 14:00:00,30.3284041666667,"TH_NP15","caiso"
"16",2018-01-01 15:00:00,34.5865866666667,"TH_NP15","caiso"
"17",2018-01-01 16:00:00,27.1452591666667,"TH_NP15","caiso"
"18",2018-01-01 17:00:00,29.8856341666667,"TH_NP15","caiso"
"19",2018-01-01 18:00:00,34.3709966666667,"TH_NP15","caiso"
"20",2018-01-01 19:00:00,41.2404066666667,"TH_NP15","caiso"
"21",2018-01-01 20:00:00,37.1645858333333,"TH_NP15","caiso"
"22",2018-01-01 21:00:00,44.0895233333333,"TH_NP15","caiso"
"23",2018-01-01 22:00:00,34.3428108333333,"TH_NP15","caiso"
"24",2018-01-01 23:00:00,31.2096291666667,"TH_NP15","caiso"
"25",2018-01-02 00:00:00,31.7875133333333,"TH_NP15","caiso"
"26",2018-01-02 01:00:00,27.0402325,"TH_NP15","caiso"
"27",2018-01-02 02:00:00,24.9198266666667,"TH_NP15","caiso"
"28",2018-01-02 03:00:00,28.0548191666667,"TH_NP15","caiso"
"29",2018-01-02 04:00:00,29.0163175,"TH_NP15","caiso"
"30",2018-01-02 05:00:00,25.9763016666667,"TH_NP15","caiso"
"31",2018-01-02 06:00:00,27.4139808333333,"TH_NP15","caiso"
"32",2018-01-02 07:00:00,29.6664458333333,"TH_NP15","caiso"
"33",2018-01-02 08:00:00,47.9856858333333,"TH_NP15","caiso"
"34",2018-01-02 09:00:00,39.7667966666667,"TH_NP15","caiso"
"35",2018-01-02 10:00:00,31.4453608333333,"TH_NP15","caiso"
"36",2018-01-02 11:00:00,28.5222275,"TH_NP15","caiso"
"37",2018-01-02 12:00:00,29.0277825,"TH_NP15","caiso"
"38",2018-01-02 13:00:00,29.1700341666667,"TH_NP15","caiso"
"39",2018-01-02 14:00:00,32.2027066666667,"TH_NP15","caiso"
"40",2018-01-02 15:00:00,38.7608441666667,"TH_NP15","caiso"
"41",2018-01-02 16:00:00,38.3974783333333,"TH_NP15","caiso"
"42",2018-01-02 17:00:00,48.6336166666667,"TH_NP15","caiso"
"43",2018-01-02 18:00:00,33.3282816666667,"TH_NP15","caiso"
"44",2018-01-02 19:00:00,39.7670358333333,"TH_NP15","caiso"
"45",2018-01-02 20:00:00,36.1898716666667,"TH_NP15","caiso"
"46",2018-01-02 21:00:00,35.1415983333333,"TH_NP15","caiso"
"47",2018-01-02 22:00:00,33.6553975,"TH_NP15","caiso"
"48",2018-01-02 23:00:00,36.7694691666667,"TH_NP15","caiso"
"49",2018-01-03 00:00:00,42.1041408333333,"TH_NP15","caiso"
"50",2018-01-03 01:00:00,42.2490916666667,"TH_NP15","caiso"
"51",2018-01-03 02:00:00,40.7950916666667,"TH_NP15","caiso"
"52",2018-01-03 03:00:00,40.9677633333333,"TH_NP15","caiso"
"53",2018-01-03 04:00:00,40.7623658333333,"TH_NP15","caiso"
"54",2018-01-03 05:00:00,37.9180216666667,"TH_NP15","caiso"
"55",2018-01-03 06:00:00,33.7997566666667,"TH_NP15","caiso"
"56",2018-01-03 07:00:00,38.2918591666667,"TH_NP15","caiso"
"57",2018-01-03 08:00:00,48.2903366666667,"TH_NP15","caiso"
"58",2018-01-03 09:00:00,45.6459633333333,"TH_NP15","caiso"
"59",2018-01-03 10:00:00,38.68394,"TH_NP15","caiso"
"60",2018-01-03 11:00:00,43.9695025,"TH_NP15","caiso"
