Month,Day,Hour,Whitewater,Sonoma,Lompoc,Fairfield,Rosamond
1,1,0,0,0,0,0,0
1,1,1,0,0,0,0,0
1,1,2,0,0,0,0,0
1,1,3,0,0,0,0,0
1,1,4,0,0,0,0,0
1,1,5,0,0,3.473639787,3.473639787,0
1,1,6,0,0,3.473639787,3.473639787,0
1,1,7,23.773486,0,8.233812831,8.233812831,0
1,1,8,37.105852,29.521454,27.78911831,27.78911831,3.473639787
1,1,9,40.021316,17.01461,44.12809065,44.12809065,3.473639787
1,1,10,40.333444,37.501772,44.12809065,44.12809065,3.473639787
1,1,11,39.721056,36.517712,27.78911831,27.78911831,3.473639787
1,1,12,39.03276,36.3947,27.78911831,27.78911831,3.473639787
1,1,13,38.764008,36.250948,44.12809065,44.12809065,0
1,1,14,36.748852,35.755804,44.12809065,44.12809065,0
1,1,15,32.709564,32.109478,27.78911831,27.78911831,0
1,1,16,13.603016,18.437258,16.08166569,16.08166569,0
1,1,17,0,0,3.473639787,3.473639787,0
1,1,18,0,0,0,0,0
1,1,19,0,0,0,0,0
1,1,20,0,0,0,0,0
1,1,21,0,0,0,0,0
1,1,22,0,0,0,0,0
1,1,23,0,0,0,0,0
1,2,0,0,0,0,0,0
1,2,1,0,0,0,0,0
1,2,2,0,0,0,0,0
1,2,3,0,0,0,0,0
1,2,4,0,0,0,0,0
1,2,5,0,0,0,0,0
1,2,6,0,0,0,0,0
1,2,7,23.696794,0,0,0,0
1,2,8,36.96144,30.641096,0,0,3.473639787
1,2,9,39.7934,36.901572,0,0,8.233812831
1,2,10,40.0622,37.292184,0,0,16.08166569
1,2,11,39.957104,36.82404,3.473639787,3.473639787,16.08166569
1,2,12,39.797284,36.511272,3.473639787,3.473639787,8.233812831
1,2,13,39.108856,36.221276,16.08166569,16.08166569,8.233812831
1,2,14,37.100036,20.961268,16.08166569,16.08166569,3.473639787
1,2,15,32.618952,13.49033,8.233812831,8.233812831,0
1,2,16,13.796099,0.96165575,0,0,0
1,2,17,0,0,0,0,0
1,2,18,0,0,0,0,0
1,2,19,0,0,0,0,0
1,2,20,0,0,0,0,0
1,2,21,0,0,0,0,0
1,2,22,0,0,0,0,0
1,2,23,0,0,0,0,0
1,3,0,0,0,0,0,0
1,3,1,0,0,0,0,0
1,3,2,0,0,0,0,0
1,3,3,0,0,0,0,0
1,3,4,0,0,0,0,3.473639787
1,3,5,0,0,0,0,3.473639787
1,3,6,0,0,0,0,3.473639787
1,3,7,23.764946,0,0,0,8.233812831
1,3,8,38.137248,11.624347,3.473639787,3.473639787,16.08166569
1,3,9,27.73256,37.29932,3.473639787,3.473639787,27.78911831
1,3,10,42.381424,38.01804,8.233812831,8.233812831,27.78911831
1,3,11,41.759928,37.777036,8.233812831,8.233812831,16.08166569
1,3,12,41.541184,37.498092,8.233812831,8.233812831,8.233812831
1,3,13,40.840768,37.413292,8.233812831,8.233812831,3.473639787
1,3,14,39.024392,23.340996,3.473639787,3.473639787,0
1,3,15,34.098672,20.818414,3.473639787,3.473639787,0
1,3,16,14.310934,5.944963,3.473639787,3.473639787,0
1,3,17,0,0,3.473639787,3.473639787,0
1,3,18,0,0,3.473639787,3.473639787,0
1,3,19,0,0,3.473639787,3.473639787,0
1,3,20,0,0,3.473639787,3.473639787,0
1,3,21,0,0,3.473639787,3.473639787,0
1,3,22,0,0,3.473639787,3.473639787,0
1,3,23,0,0,0,0,0
1,4,0,0,0,0,0,0
1,4,1,0,0,0,0,0
1,4,2,0,0,0,0,0
1,4,3,0,0,0,0,0
1,4,4,0,0,0,0,0
1,4,5,0,0,0,0,0
1,4,6,0,0,0,0,0
1,4,7,23.35756,0,0,0,0
1,4,8,28.355902,0.968223813,0,0,3.473639787
1,4,9,40.188872,2.87499425,0,0,8.233812831
1,4,10,40.37734,27.906442,0,0,8.233812831
1,4,11,39.34738,31.092556,0,0,3.473639787
1,4,12,39.13292,31.501772,0,0,0
1,4,13,37.55664,27.898028,0,0,0
1,4,14,36.432164,26.708688,0,0,0
1,4,15,32.453528,27.495342,0,0,0
1,4,16,13.535796,15.170415,0,0,0
1,4,17,0,0,0,0,0
1,4,18,0,0,0,0,0
1,4,19,0,0,0,0,0
1,4,20,0,0,0,0,0
1,4,21,0,0,0,0,0
1,4,22,0,0,0,0,0
1,4,23,0,0,0,0,0
1,5,0,0,0,0,0,0
1,5,1,0,0,0,0,0
1,5,2,0,0,0,0,0
1,5,3,0,0,0,0,0
1,5,4,0,0,0,0,0
1,5,5,0,0,0,0,0
1,5,6,0,0,0,0,0
1,5,7,4.606012,0,0,0,0
1,5,8,35.254032,4.6131645,0,0,0
1,5,9,38.359604,18.509508,0,0,0
1,5,10,38.854484,28.128714,0,0,0
1,5,11,38.052988,22.202634,0,0,0
1,5,12,37.84756,27.956608,0,0,0
1,5,13,36.112188,26.39002,0,0,0
1,5,14,35.043872,20.953932,0,0,0
1,5,15,30.846212,32.07137,0,0,0
1,5,16,6.033404,18.128676,0,0,0
1,5,17,0,0,0,0,0
1,5,18,0,0,0,0,0
1,5,19,0,0,0,0,0
1,5,20,0,0,0,0,0
1,5,21,0,0,0,0,0
1,5,22,0,0,0,0,0
1,5,23,0,0,0,0,0
1,6,0,0,0,0,0,0
1,6,1,0,0,0,0,0
1,6,2,0,0,0,0,0
1,6,3,0,0,0,0,0
1,6,4,0,0,0,0,0
1,6,5,0,0,0,0,0
1,6,6,0,0,0,0,0
1,6,7,1.81191325,0,0,0,0
1,6,8,12.848886,6.670719,0,0,0
1,6,9,19.3345,1.939937875,0,0,0
1,6,10,38.299212,8.3466355,0,0,0
1,6,11,37.944028,8.960801,0,0,0
1,6,12,38.565824,18.881648,0,0,0
1,6,13,38.446352,22.756548,0,0,0
1,6,14,36.506428,27.42922,0,0,0
1,6,15,32.432938,15.537331,0,0,0
1,6,16,14.094686,12.645778,0,0,0
1,6,17,0,0,0,0,0
1,6,18,0,0,0,0,0
1,6,19,0,0,0,0,0
1,6,20,0,0,0,0,0
1,6,21,0,0,0,0,0
1,6,22,0,0,0,0,0
1,6,23,0,0,0,0,0
1,7,0,0,0,0,0,0
1,7,1,0,0,0,0,0
1,7,2,0,0,0,0,0
1,7,3,0,0,0,0,0
1,7,4,0,0,0,0,0
1,7,5,0,0,0,0,0
1,7,6,0,0,0,0,0
1,7,7,21.902796,0,0,0,0
1,7,8,34.322792,2.166081,0,0,0
1,7,9,37.96152,5.9733675,0,0,0
1,7,10,38.440756,5.1136735,0,0,0
1,7,11,39.171348,7.5423345,0,0,3.473639787
1,7,12,38.871552,7.9361385,3.473639787,3.473639787,3.473639787
1,7,13,38.569056,3.9774145,3.473639787,3.473639787,3.473639787
1,7,14,37.17648,2.72161725,3.473639787,3.473639787,3.473639787
1,7,15,32.056508,1.411005125,0,0,0
1,7,16,13.401198,0.159036953,0,0,0
1,7,17,0,0,0,0,0
1,7,18,0,0,0,0,0
1,7,19,0,0,0,0,0
1,7,20,0,0,0,0,0
1,7,21,0,0,0,0,0
1,7,22,0,0,0,0,0
1,7,23,0,0,0,0,0
1,8,0,0,0,0,0,0
1,8,1,0,0,0,0,0
1,8,2,0,0,0,0,0
1,8,3,0,0,0,0,0
1,8,4,0,0,0,0,0
1,8,5,0,0,0,0,0
1,8,6,0,0,0,0,0
1,8,7,22.871174,0,0,0,0
1,8,8,38.367572,7.231708,0,0,0
1,8,9,41.616916,10.098381,0,0,8.233812831
1,8,10,42.416696,38.174908,0,0,16.08166569
1,8,11,42.376548,37.534028,0,0,16.08166569
1,8,12,42.249348,37.290076,0,0,16.08166569
1,8,13,41.704768,37.063288,3.473639787,3.473639787,8.233812831
1,8,14,40.298576,36.599536,0,0,3.473639787
1,8,15,15.950034,19.179414,0,0,0
1,8,16,14.932587,20.56396,0,0,0
1,8,17,0,0,0,0,0
1,8,18,0,0,0,0,0
1,8,19,0,0,0,0,0
